,Year,Month,Number of Employed People
0,1978,02,1638085.0994
1,1978,03,1642737.6352000001
2,1978,04,1646559.168
3,1978,05,1649500.1268000002
4,1978,06,1650832.7713000001
5,1978,07,1649914.8232
6,1978,08,1646965.772
7,1978,09,1643768.8874000001
8,1978,10,1642193.1895
9,1978,11,1642900.2811
10,1978,12,1645620.8072
11,1979,01,1649519.7105
12,1979,02,1653331.6102
13,1979,03,1655988.9631
14,1979,04,1656935.331
15,1979,05,1656305.8401000001
16,1979,06,1655203.4264
17,1979,07,1655064.1493000002
18,1979,08,1657014.8035
19,1979,09,1661400.2210000001
20,1979,10,1667767.7387
21,1979,11,1674805.209
22,1979,12,1680830.2722
23,1980,01,1684730.2229
24,1980,02,1686527.759
25,1980,03,1687338.688
26,1980,04,1688249.3681
27,1980,05,1689824.5070999998
28,1980,06,1691787.9247
29,1980,07,1693878.8431
30,1980,08,1695901.7033
31,1980,09,1697676.7837
32,1980,10,1699545.1459000001
33,1980,11,1702364.6277
34,1980,12,1706582.529
35,1981,01,1711834.3084999998
36,1981,02,1717172.5289999999
37,1981,03,1721563.3685
38,1981,04,1724694.5551
39,1981,05,1726737.7511
40,1981,06,1727684.9034
41,1981,07,1727356.2443000001
42,1981,08,1725898.7146
43,1981,09,1723709.7971
44,1981,10,1721156.4494
45,1981,11,1718966.4216
46,1981,12,1717742.0437999999
47,1982,01,1717657.4884
48,1982,02,1718330.0372000001
49,1982,03,1719081.4582
50,1982,04,1719376.7892
51,1982,05,1719100.2693
52,1982,06,1718233.6423
53,1982,07,1716385.3512000002
54,1982,08,1713016.771
55,1982,09,1708116.0130999999
56,1982,10,1701983.4364
57,1982,11,1694599.9491
58,1982,12,1686201.541
59,1983,01,1677721.8076
60,1983,02,1670208.8605
61,1983,03,1664730.4523
62,1983,04,1662104.4755999998
63,1983,05,1662892.7292000002
64,1983,06,1667169.7997
65,1983,07,1674195.2176
66,1983,08,1682401.3678
67,1983,09,1689504.8503999999
68,1983,10,1694619.8255
69,1983,11,1698146.5076
70,1983,12,1701090.4046
71,1984,01,1704276.5873999998
72,1984,02,1708510.5891
73,1984,03,1713771.3939
74,1984,04,1719502.1737
75,1984,05,1725047.0206
76,1984,06,1730046.3728
77,1984,07,1734922.4369
78,1984,08,1739597.5145
79,1984,09,1744528.5694
80,1984,10,1749123.6639
81,1984,11,1752437.0275
82,1984,12,1754407.0
83,1985,01,1755150.5503999998
84,1985,02,1755328.2669
85,1985,03,1756329.2626
86,1985,04,1759539.1795
87,1985,05,1764756.669
88,1985,06,1771913.5003
89,1985,07,1780426.1889
90,1985,08,1789669.7094999999
91,1985,09,1798900.6119000001
92,1985,10,1807297.3902999999
93,1985,11,1815023.4095
94,1985,12,1821929.1716
95,1986,01,1828433.7837
96,1986,02,1834728.9837
97,1986,03,1840302.0585
98,1986,04,1844499.4837
99,1986,05,1847917.2289
100,1986,06,1851031.1095
101,1986,07,1854102.7352
102,1986,08,1858010.6419000002
103,1986,09,1862625.6091
104,1986,10,1868010.7222
105,1986,11,1873828.6997
106,1986,12,1880081.0745
107,1987,01,1886717.5076000001
108,1987,02,1894046.7131
109,1987,03,1902542.9418000001
110,1987,04,1911397.5556
111,1987,05,1918879.757
112,1987,06,1923333.2694
113,1987,07,1924768.7375999999
114,1987,08,1924225.3599
115,1987,09,1923101.1286
116,1987,10,1922568.1611
117,1987,11,1923671.8908
118,1987,12,1926696.9719
119,1988,01,1930670.8914
120,1988,02,1934237.8489
121,1988,03,1936353.8694
122,1988,04,1937739.5832
123,1988,05,1939548.578
124,1988,06,1942530.3646
125,1988,07,1947382.4128999999
126,1988,08,1953714.8602
127,1988,09,1961337.8998999998
128,1988,10,1970147.5383
129,1988,11,1979409.5850000002
130,1988,12,1989228.8535
131,1989,01,2000323.5791
132,1989,02,2012311.9995
133,1989,03,2024254.8932
134,1989,04,2035106.4549
135,1989,05,2044102.0707
136,1989,06,2051354.7570999998
137,1989,07,2056631.3366
138,1989,08,2060680.5651
139,1989,09,2064729.0394000001
140,1989,10,2068922.9753
141,1989,11,2073672.4777
142,1989,12,2079155.1413000003
143,1990,01,2085133.1922999998
144,1990,02,2091536.4419000002
145,1990,03,2097751.5403
146,1990,04,2102050.3772
147,1990,05,2102817.2639
148,1990,06,2099345.021
149,1990,07,2092032.805
150,1990,08,2082269.8535999998
151,1990,09,2071501.6378000001
152,1990,10,2060870.8961000002
153,1990,11,2050102.5636
154,1990,12,2038154.5517
155,1991,01,2024572.5829
156,1991,02,2009313.2981
157,1991,03,1993538.1400000001
158,1991,04,1979560.7589
159,1991,05,1969733.3498999998
160,1991,06,1964438.7023
161,1991,07,1962642.0404
162,1991,08,1962755.6819
163,1991,09,1963402.8381999999
164,1991,10,1963582.8683
165,1991,11,1962757.3783
166,1991,12,1960253.3492
167,1992,01,1956209.8049
168,1992,02,1951690.6341
169,1992,03,1947809.4337
170,1992,04,1945192.5078
171,1992,05,1944263.1748
172,1992,06,1944914.7642
173,1992,07,1946554.4347
174,1992,08,1947724.7458
175,1992,09,1947133.7222
176,1992,10,1944901.9079
177,1992,11,1942165.2509
178,1992,12,1939577.6817
179,1993,01,1937082.4571
180,1993,02,1934071.3785
181,1993,03,1930249.4036
182,1993,04,1925890.4129
183,1993,05,1922001.4913
184,1993,06,1920004.0343
185,1993,07,1920751.2226
186,1993,08,1923979.5454
187,1993,09,1928656.0955
188,1993,10,1933243.2559
189,1993,11,1936771.8094
190,1993,12,1939482.9494999999
191,1994,01,1942326.9181000001
192,1994,02,1946513.6018
193,1994,03,1952373.1458
194,1994,04,1959565.2131
195,1994,05,1967628.5161000001
196,1994,06,1975365.6163
197,1994,07,1982003.4963999998
198,1994,08,1986919.9291
199,1994,09,1989946.3529
200,1994,10,1992171.5101
201,1994,11,1994876.5413000002
202,1994,12,1999314.6944
203,1995,01,2006044.3628999998
204,1995,02,2014645.0111
205,1995,03,2024326.2603
206,1995,04,2033770.2397999999
207,1995,05,2041025.513
208,1995,06,2045811.0185999998
209,1995,07,2048961.6420000002
210,1995,08,2051819.5731000002
211,1995,09,2055616.4149000002
212,1995,10,2060166.1548000001
213,1995,11,2064850.9245
214,1995,12,2069463.9502
215,1996,01,2073320.3773999999
216,1996,02,2075859.4991
217,1996,03,2076892.6872000003
218,1996,04,2076688.7688000002
219,1996,05,2075778.0585
220,1996,06,2074792.6591999999
221,1996,07,2073936.0322000002
222,1996,08,2073737.8502000002
223,1996,09,2074488.8983999998
224,1996,10,2076264.8822
225,1996,11,2078328.3458999998
226,1996,12,2079874.2937000003
227,1997,01,2080320.2535
228,1997,02,2080041.558
229,1997,03,2079373.4159000001
230,1997,04,2078840.6918000001
231,1997,05,2078807.4918000002
232,1997,06,2079446.3618
233,1997,07,2081089.3203
234,1997,08,2083950.6258999999
235,1997,09,2087960.8754999998
236,1997,10,2092870.5082999999
237,1997,11,2098273.9923
238,1997,12,2103612.3333
239,1998,01,2108819.7813000004
240,1998,02,2113891.617
241,1998,03,2118619.6758000003
242,1998,04,2123097.949
243,1998,05,2127149.897
244,1998,06,2130477.4272
245,1998,07,2132786.4914
246,1998,08,2134277.8367999997
247,1998,09,2135301.2313
248,1998,10,2135901.1089
249,1998,11,2136439.1205
250,1998,12,2136790.413
251,1999,01,2136985.0142
252,1999,02,2137318.2173
253,1999,03,2138276.4951
254,1999,04,2139920.9483
255,1999,05,2142404.3747
256,1999,06,2145621.0704
257,1999,07,2149234.3277999996
258,1999,08,2152643.5806
259,1999,09,2155478.443
260,1999,10,2157778.5552999997
261,1999,11,2160113.9661000003
262,1999,12,2162988.9819
263,2000,01,2167083.8766
264,2000,02,2172830.3294
265,2000,03,2180559.3896
266,2000,04,2190266.5662999996
267,2000,05,2201132.7078
268,2000,06,2211954.9343
269,2000,07,2221648.0066
270,2000,08,2229100.7800000003
271,2000,09,2234206.0793
272,2000,10,2237528.3885
273,2000,11,2240043.1543
274,2000,12,2242836.4234
275,2001,01,2246497.7779
276,2001,02,2250587.1773
277,2001,03,2254373.7526
278,2001,04,2257304.3385
279,2001,05,2259102.0503999996
280,2001,06,2260188.1775
281,2001,07,2261021.7803
282,2001,08,2262200.3999
283,2001,09,2263898.2394999997
284,2001,10,2265913.6832999997
285,2001,11,2268027.344
286,2001,12,2270159.5498
287,2002,01,2272257.5957
288,2002,02,2274227.1961000003
289,2002,03,2276168.4835
290,2002,04,2278206.8506
291,2002,05,2280375.7347999997
292,2002,06,2282909.2221
293,2002,07,2286227.3591
294,2002,08,2290982.4875999996
295,2002,09,2297257.8151
296,2002,10,2305172.4461
297,2002,11,2313631.2767
298,2002,12,2321305.3238000004
299,2003,01,2327268.6835
300,2003,02,2331026.7887
301,2003,03,2332497.5238
302,2003,04,2332358.1095999996
303,2003,05,2332021.9395
304,2003,06,2332393.835
305,2003,07,2333662.1782
306,2003,08,2335768.4235
307,2003,09,2338205.3085
308,2003,10,2340817.6562
309,2003,11,2343646.3731
310,2003,12,2346846.307
311,2004,01,2350111.7075
312,2004,02,2353437.8934
313,2004,03,2356867.1577999997
314,2004,04,2360312.2448
315,2004,05,2364079.4263
316,2004,06,2368878.0134
317,2004,07,2375362.139
318,2004,08,2383876.1332
319,2004,09,2394021.4406999997
320,2004,10,2404989.9608
321,2004,11,2415542.861
322,2004,12,2424881.3608999997
323,2005,01,2432479.6329
324,2005,02,2438686.1634
325,2005,03,2444014.1552999998
326,2005,04,2448500.5573
327,2005,05,2452150.3593
328,2005,06,2454873.5312
329,2005,07,2456632.1386
330,2005,08,2457410.0342
331,2005,09,2457579.2872
332,2005,10,2457872.2887
333,2005,11,2459330.2970999996
334,2005,12,2462756.5085
335,2006,01,2468380.7653
336,2006,02,2475910.8545
337,2006,03,2484732.897
338,2006,04,2494581.4047
339,2006,05,2504642.4212
340,2006,06,2513493.3345
341,2006,07,2520597.0731
342,2006,08,2525676.6056000004
343,2006,09,2529224.5612000003
344,2006,10,2532235.1932
345,2006,11,2536001.9992
346,2006,12,2541693.1819
347,2007,01,2549690.2771
348,2007,02,2559374.7432999997
349,2007,03,2569636.6297
350,2007,04,2579220.1980999997
351,2007,05,2587351.4102
352,2007,06,2594116.9907
353,2007,07,2599795.0913
354,2007,08,2604876.5580999996
355,2007,09,2610499.6188999997
356,2007,10,2616670.0694
357,2007,11,2623142.8816
358,2007,12,2629491.6799
359,2008,01,2635342.0132999998
360,2008,02,2640267.4935
361,2008,03,2644120.8714
362,2008,04,2647134.1963
363,2008,05,2649776.7802
364,2008,06,2652304.9486
365,2008,07,2654540.991
366,2008,08,2656113.4705
367,2008,09,2656892.2506
368,2008,10,2656893.4291
369,2008,11,2656595.3169
370,2008,12,2655998.5183
371,2009,01,2654945.2932999996
372,2009,02,2653591.8090999997
373,2009,03,2652688.6315
374,2009,04,2652794.6023999997
375,2009,05,2654744.5775
376,2009,06,2659663.3278
377,2009,07,2668300.4510999997
378,2009,08,2680473.3207
379,2009,09,2695089.0124
380,2009,10,2710128.0524
381,2009,11,2723272.4395
382,2009,12,2732730.2196
383,2010,01,2737861.4444
384,2010,02,2738779.9917
385,2010,03,2737256.607
386,2010,04,2736313.1686
387,2010,05,2738060.3958
388,2010,06,2743311.6287
389,2010,07,2751553.2848
390,2010,08,2762010.6782
391,2010,09,2773298.5433
392,2010,10,2784670.378
393,2010,11,2795068.5405
394,2010,12,2803224.7040000004
395,2011,01,2808717.9722
396,2011,02,2811637.2867
397,2011,03,2812104.3676
398,2011,04,2810835.7355
399,2011,05,2809735.0217
400,2011,06,2810095.2734000003
401,2011,07,2811828.935
402,2011,08,2814439.8753
403,2011,09,2816355.4746999997
404,2011,10,2816893.2388
405,2011,11,2816518.6404
406,2011,12,2817038.3997
407,2012,01,2819980.1779
408,2012,02,2825864.7332
409,2012,03,2833957.8126000003
410,2012,04,2842585.3466
411,2012,05,2849517.673
412,2012,06,2853171.466
413,2012,07,2853604.2926
414,2012,08,2851416.6119
415,2012,09,2848404.0393
416,2012,10,2846175.4819
417,2012,11,2845541.0931
418,2012,12,2846436.496
419,2013,01,2849403.7122
420,2013,02,2854819.9783
421,2013,03,2862364.0541999997
422,2013,04,2870414.0648
423,2013,05,2877557.644
424,2013,06,2883405.6094
425,2013,07,2886995.1086999997
426,2013,08,2888266.7977
427,2013,09,2887489.7665
428,2013,10,2885050.9063999997
429,2013,11,2881702.1899
430,2013,12,2878474.1011
431,2014,01,2876070.1984
432,2014,02,2875218.0174
433,2014,03,2876964.5053
434,2014,04,2881719.6451
435,2014,05,2888642.0622
436,2014,06,2896077.0317
437,2014,07,2903513.6367
438,2014,08,2910867.2953999997
439,2014,09,2918604.0513
440,2014,10,2927919.0176000004
441,2014,11,2939041.9902
442,2014,12,2951560.4832
443,2015,01,2963791.7545
444,2015,02,2974467.299
445,2015,03,2981830.2657
446,2015,04,2985081.6683
447,2015,05,2985400.9385
448,2015,06,2985057.3064
449,2015,07,2986030.4322
450,2015,08,2989322.2314
451,2015,09,2995454.0738
452,2015,10,3004039.5765
453,2015,11,3014590.5093
454,2015,12,3025609.6446
455,2016,01,3036256.7561999997
456,2016,02,3046516.8446
457,2016,03,3057229.3807
458,2016,04,3068784.9462
459,2016,05,3080812.2109000003
460,2016,06,3092166.8068
461,2016,07,3102874.9641
462,2016,08,3112253.7228
463,2016,09,3120177.5730999997
464,2016,10,3126433.7085
465,2016,11,3132282.9554
466,2016,12,3139173.749
467,2017,01,3147877.9636999997
468,2017,02,3157421.4068
469,2017,03,3166972.7018
470,2017,04,3176050.7334
471,2017,05,3184328.2541
472,2017,06,3191523.5837999997
473,2017,07,3198097.5527
474,2017,08,3204661.7037
475,2017,09,3211126.7868999997
476,2017,10,3216897.6487999996
477,2017,11,3221190.8659
478,2017,12,3223616.1345
479,2018,01,3224920.5977000003
480,2018,02,3226777.4733
481,2018,03,3230386.068
482,2018,04,3236417.5741
483,2018,05,3244784.5354999998
484,2018,06,3255201.7966
485,2018,07,3266652.3018
486,2018,08,3278574.8666
487,2018,09,3290504.7766
488,2018,10,3302009.6006
489,2018,11,3312124.6732
490,2018,12,3321040.591
491,2019,01,3328495.6911
492,2019,02,3334487.0268
493,2019,03,3339277.6909999996
494,2019,04,3343974.5001000003
495,2019,05,3349167.5077
496,2019,06,3355453.2082
497,2019,07,3363076.0653000004
498,2019,08,3372483.7849999997
499,2019,09,3382537.3959
500,2019,10,3391399.6897
501,2019,11,3397361.2284999997
502,2019,12,3399422.2749
503,2020,01,3397984.7615
504,2020,02,3394684.5503999996
505,2020,03,3391055.3074
506,2020,04,3217854.5232
507,2020,05,3216979.5642
508,2020,06,3217917.4761
509,2020,07,3219920.6703999997
510,2020,08,3222817.2678
511,2020,09,3227832.7568
512,2020,10,3236058.9473
513,2020,11,3302026.989
514,2020,12,3315212.8956999998
515,2021,01,3329478.4809
516,2021,02,3343404.0254
517,2021,03,3356043.4545
518,2021,04,3367086.8012
519,2021,05,3377145.7528
520,2021,06,3386683.9826
521,2021,07,3395433.6037
522,2021,08,3403149.2641
523,2021,09,3409666.395
524,2021,10,3415790.2423
525,2021,11,3423312.8652
526,2021,12,3432851.6874
527,2022,01,3444222.0826
528,2022,02,3456825.9943
529,2022,03,3469753.5232
530,2022,04,3481810.2825
531,2022,05,3492119.3691
532,2022,06,3500560.2068
533,2022,07,3507729.1599
534,2022,08,3514050.4984
535,2022,09,3520100.2195
536,2022,10,3527036.8781000003
537,2022,11,3535812.957
538,2022,12,3547101.008
539,2023,01,3561095.8159000003
540,2023,02,3577122.02
541,2023,03,3594093.3331
542,2023,04,3610332.8136
543,2023,05,3625210.0947
544,2023,06,3638435.3378999997
545,2023,07,3650277.1759
546,2023,08,3661107.8278
547,2023,09,3671028.8839
548,2023,10,3680082.3827
