,Year,Month,Number of Employed People
0,1978,02,529773.4585
1,1978,03,529512.6966
2,1978,04,529087.3312
3,1978,05,528606.0082
4,1978,06,527962.4185
5,1978,07,527034.5942
6,1978,08,525877.7889
7,1978,09,524708.6564
8,1978,10,523851.78740000003
9,1978,11,523570.0874
10,1978,12,524019.40520000004
11,1979,01,525172.0192
12,1979,02,526745.2363
13,1979,03,528375.412
14,1979,04,529909.6224999999
15,1979,05,531324.8652
16,1979,06,532619.1169
17,1979,07,533899.3537
18,1979,08,535234.1479
19,1979,09,536694.5429
20,1979,10,538199.8801
21,1979,11,539597.3281
22,1979,12,540896.6673
23,1980,01,542149.2235
24,1980,02,543581.6609
25,1980,03,545474.2437999999
26,1980,04,547913.9312
27,1980,05,550726.8151
28,1980,06,553798.6301
29,1980,07,556922.4256999999
30,1980,08,559909.4105
31,1980,09,562721.0422
32,1980,10,565258.0533
33,1980,11,567476.3706
34,1980,12,569170.5506
35,1981,01,570268.3986
36,1981,02,570934.6455
37,1981,03,571225.0345
38,1981,04,571284.7204
39,1981,05,571283.9844
40,1981,06,571341.5121
41,1981,07,571396.8462
42,1981,08,571507.5385
43,1981,09,571767.9094
44,1981,10,572237.8960999999
45,1981,11,572980.843
46,1981,12,573977.9825
47,1982,01,575186.3648999999
48,1982,02,576344.8757999999
49,1982,03,577370.4288999999
50,1982,04,578200.7496999999
51,1982,05,578813.883
52,1982,06,579288.7868
53,1982,07,579628.3848
54,1982,08,579789.9711
55,1982,09,579565.3923
56,1982,10,578920.1163
57,1982,11,577789.7968
58,1982,12,576155.3419
59,1983,01,574271.393
60,1983,02,572657.9718
61,1983,03,571845.721
62,1983,04,572048.213
63,1983,05,573175.6222
64,1983,06,574871.2949
65,1983,07,576769.5255
66,1983,08,578491.8334
67,1983,09,579887.1142000001
68,1983,10,581099.0823
69,1983,11,582517.4458
70,1983,12,584654.2145
71,1984,01,587480.363
72,1984,02,590493.9223
73,1984,03,593153.4977
74,1984,04,595062.6395
75,1984,05,596102.3492
