,Unnamed: 0,Sydney,Melbourne
0,1971,3015900,2606900
1,1972,3053900,2651600
2,1973,3079600,2686400
3,1974,3108500,2722400
4,1975,3129000,2746200
5,1976,3143800,2764100
6,1977,3168100,2782600
7,1978,3197700,2800700
8,1979,3226800,2816300
9,1980,3257500,2835500
10,1981,3279539,2857907
11,1982,3319302,2887744
12,1983,3351105,2916524
13,1984,3385017,2942787
14,1985,3424594,2970627
15,1986,3471489,2996733
16,1987,3526166,3035229
17,1988,3587999,3075917
18,1989,3621273,3121026
19,1990,3642763,3163590
20,1991,3672914,3194707
21,1992,3708310,3217776
22,1993,3728426,3231603
23,1994,3758844,3243516
24,1995,3802786,3268881
25,1996,3856646,3304912
26,1997,3905123,3336088
27,1998,3945098,3368966
28,1999,3991974,3407286
29,2000,4041730,3450077
30,2001,4102580,3500249
31,2002,4135637,3545579
32,2003,4162593,3594031
33,2004,4184763,3641951
34,2005,4217563,3697372
35,2006,4256161,3760760
36,2007,4325525,3841760
37,2008,4409562,3931438
38,2009,4492380,4031787
39,2010,4555516,4105857
40,2011,4608949,4169366
41,2012,4677196,4265843
42,2013,4757364,4370067
43,2014,4841349,4476030
44,2015,4930189,4586012
45,2016,5024923,4714387
46,2017,5116610,4818100
47,2018,5184555,4913138
48,2019,5248704,5001917
49,2020,5284879,5054839
50,2021,5259764,4976157
